wp_index,x,y,segment_length_m,cumulative_length_m
43,2.134470419107597,-0.1362009456477864,0.05,2.212132
44,2.184470419852655,-0.1362009456477864,0.05,2.262132
45,2.234470420597713,-0.1362009456477864,0.05,2.312132
46,2.284470421342771,-0.1362009456477864,0.05,2.362132
47,2.334470422087829,-0.1362009456477864,0.05,2.412132
48,2.3844704228328872,-0.1362009456477864,0.05,2.462132
49,2.4344704235779453,-0.1362009456477864,0.05,2.512132
50,2.4844704243230034,-0.1362009456477864,0.05,2.562132
51,2.5344704250680614,-0.1362009456477864,0.05,2.612132
52,2.5844704258131195,-0.1362009456477864,0.05,2.662132
53,2.6344704265581775,-0.1362009456477864,0.05,2.712132
54,2.6844704273032356,-0.1362009456477864,0.05,2.762132
55,2.7344704280482937,-0.1362009456477864,0.05,2.812132
56,2.7844704287933517,-0.1362009456477864,0.05,2.862132
57,2.8344704295384098,-0.1362009456477864,0.05,2.912132
58,2.884470430283468,-0.1362009456477864,0.05,2.962132
59,2.934470431028526,-0.1362009456477864,0.05,3.012132
60,2.984470431773584,-0.1362009456477864,0.05,3.062132
61,3.034470432518642,-0.1362009456477864,0.05,3.112132
62,3.0844704332637,-0.1362009456477864,0.05,3.162132
63,3.134470434008758,-0.1362009456477864,0.05,3.212132
64,3.184470434753816,-0.1362009456477864,0.05,3.262132
65,3.2344704354988743,-0.1362009456477864,0.05,3.312132
66,3.2844704362439323,-0.1362009456477864,0.05,3.362132
67,3.3344704369889904,-0.1362009456477864,0.05,3.412132
68,3.3844704377340484,-0.1362009456477864,0.05,3.462132
69,3.4344704384791065,-0.1362009456477864,0.05,3.512132
70,3.4844704392241646,-0.1362009456477864,0.05,3.562132
71,3.5344704399692226,-0.1362009456477864,0.05,3.612132
72,3.5844704407142807,-0.1362009456477864,0.05,3.662132
73,3.6344704414593387,-0.1362009456477864,0.05,3.712132
74,3.684470442204397,-0.1362009456477864,0.05,3.762132
75,3.734470442949455,-0.1362009456477864,0.05,3.812132
76,3.784470443694513,-0.1362009456477864,0.05,3.862132
77,3.834470444439571,-0.1362009456477864,0.05,3.912132
78,3.884470445184629,-0.1362009456477864,0.05,3.962132
79,3.934470445929687,-0.1362009456477864,0.05,4.012132
80,3.984470446674745,-0.1362009456477864,0.05,4.062132
81,4.034470447419803,-0.1362009456477864,0.05,4.112132
82,4.084470448164861,-0.1362009456477864,0.05,4.162132
83,4.134470448909919,-0.1362009456477864,0.05,4.212132
84,4.184470449654977,-0.1362009456477864,0.05,4.262132
85,4.2344704504000354,-0.1362009456477864,0.05,4.312132
86,4.2844704511450935,-0.1362009456477864,0.05,4.362132
87,4.334470451890152,-0.1362009456477864,0.05,4.412132
88,4.38447045263521,-0.1362009456477864,0.05,4.462132
89,4.434470453380268,-0.1362009456477864,0.05,4.512132
90,4.484470454125326,-0.1362009456477864,0.05,4.562132
91,4.534470454870384,-0.1362009456477864,0.05,4.612132
92,4.584470455615442,-0.1362009456477864,0.05,4.662132
93,4.6344704563605,-0.1362009456477864,0.05,4.712132
94,4.684470457105558,-0.1362009456477864,0.05,4.762132
95,4.734470457850616,-0.1362009456477864,0.05,4.812132
96,4.784470458595674,-0.1362009456477864,0.05,4.862132
97,4.834470459340732,-0.1362009456477864,0.05,4.912132
98,4.88447046008579,-0.1362009456477864,0.05,4.962132
99,4.934470460830848,-0.1362009456477864,0.05,5.012132
100,4.984470461575906,-0.1362009456477864,0.05,5.062132
101,5.034470462320964,-0.1362009456477864,0.05,5.112132
102,5.0844704630660225,-0.1362009456477864,0.05,5.162132
103,5.0844704630660225,-0.1362009456477864,0.0,5.162132
104,5.034470462320964,-0.18620094639284446,0.070711,5.232843
105,4.984470461575906,-0.23620094713790252,0.070711,5.303553
106,4.934470460830848,-0.2862009478829606,0.070711,5.374264
107,4.88447046008579,-0.33620094862801864,0.070711,5.444975
108,4.834470459340732,-0.3862009493730767,0.070711,5.515686
109,4.784470458595674,-0.43620095011813476,0.070711,5.586396
110,4.734470457850616,-0.4862009508631928,0.070711,5.657107
111,4.684470457105558,-0.5362009516082509,0.070711,5.727818
112,4.6344704563605,-0.5862009523533089,0.070711,5.798528
113,4.584470455615442,-0.636200953098367,0.070711,5.869239
114,4.534470454870384,-0.686200953843425,0.070711,5.93995
115,4.484470454125326,-0.7362009545884831,0.070711,6.01066
116,4.484470454125326,-0.7862009553335412,0.05,6.06066
117,4.484470454125326,-0.8362009560785992,0.05,6.11066
118,4.484470454125326,-0.8862009568236573,0.05,6.16066
119,4.484470454125326,-0.9362009575687154,0.05,6.21066
120,4.484470454125326,-0.9862009583137734,0.05,6.26066
121,4.484470454125326,-1.0362009590588315,0.05,6.31066
122,4.484470454125326,-1.0862009598038895,0.05,6.36066
123,4.484470454125326,-1.1362009605489476,0.05,6.41066
124,4.484470454125326,-1.1862009612940057,0.05,6.46066
125,4.484470454125326,-1.2362009620390637,0.05,6.51066
126,4.484470454125326,-1.2862009627841218,0.05,6.56066
127,4.484470454125326,-1.3362009635291798,0.05,6.61066
128,4.484470454125326,-1.386200964274238,0.05,6.66066
