t,joy_throttle,joy_steering,U_1
4.97075152397156,1,0,0.2
5.01009654998779,1,0,0.2
5.12580966949463,1,0,0.2
5.1603536605835,1,0,0.2
5.25546550750732,1,0,0.2
5.30391383171082,1,0,0.2
5.37169051170349,1,0,0.2
5.46972036361694,1,0,0.2
5.50184392929077,1,0,0.2
5.5660560131073,1,0,0.2
5.67406868934631,1,0,0.2
5.77256035804749,1,0,0.2
5.8661515712738,1,0,0.2
5.9631290435791,1,0,0.2
6.00633192062378,1,0,0.2
6.06317853927612,1,0,0.2
6.16063451766968,1,0,0.2
6.2225513458252,1,0,0.2
6.2590229511261,1,0,0.2
6.33029174804688,1,0,0.2
6.35475850105286,1,0,0.2
6.42548370361328,1,0,0.2
6.46357488632202,1,0,0.2
6.58593535423279,1,0,0.2
6.67671537399292,1,0,0.2
6.77513885498047,1,0,0.2
6.82285046577454,1,0,0.2
6.93175482749939,1,0,0.2
7.02762842178345,1,0,0.2
7.06612992286682,1,0,0.2
7.12490129470825,1,0,0.2
7.16018581390381,1,0,0.2
7.21931290626526,1,0,0.2
7.25985932350159,1,0,0.2
7.36231350898743,1,0,0.2
7.4298939704895,1,0,0.2
7.46172571182251,1,0,0.2
7.5826940536499,1,0,0.2
7.64531970024109,1,0,0.2
7.69032955169678,1,0,0.2
7.77268552780151,1,0,0.2
7.84254002571106,1,0,0.2
7.87466478347778,1,0,0.2
7.91135287284851,1,0,0.2
7.97638964653015,1,0,0.2
8.04447722434998,1,0,0.2
8.06489205360413,1,0,0.2
8.11913466453552,1,0,0.2
8.16439318656921,1,0,0.2
8.21836376190186,1,0,0.2
8.26668095588684,1,0,0.2
8.32865691184998,1,0,0.2
8.36936545372009,1,0,0.2
8.42829704284668,1,0,0.2
8.46987223625183,1,0,0.2
8.52935671806335,1,0,0.2
8.57606482505798,1,0,0.2
8.62117624282837,1,0,0.2
8.67324662208557,1,0,0.2
8.77181458473206,1,0,0.2
8.81872510910034,1,0,0.2
8.88063502311707,1,0,0.2
8.92000770568848,1,0,0.2
8.97078537940979,1,0,0.2
9.02400469779968,1,0,0.2
9.12989115715027,1,0,0.2
9.17365694046021,1,0,0.2
9.22499442100525,1,0,0.2
9.3306188583374,1,0,0.2
9.3757815361023,1,0,0.2
9.43237614631653,1,0,0.2
9.47662377357483,1,0,0.2
9.58296895027161,1,0,0.2
9.6800971031189,1,0,0.2
9.78458309173584,1,0,0.2
9.82904434204102,1,0,0.2
9.88145399093628,1,0,0.2
9.99105191230774,1,0,0.2
10.0245141983032,1,0,0.2
10.3772399425507,1,0,0.2
10.3792588710785,1,0,0.2
10.3794271945953,1,0,0.2
10.4057800769806,1,0,0.2
10.4059166908264,1,0,0.2
10.4309458732605,1,0,0.2
10.4794471263886,1,0,0.2
10.5765633583069,1,0,0.2
10.6264743804932,1,0,0.2
10.6835374832153,1,0,0.2
10.779721736908,1,0,0.2
10.8246808052063,1,0,0.2
10.8873827457428,1,0,0.2
10.9285213947296,1,0,0.2
10.9855523109436,1,0,0.2
11.093781709671,1,0,0.2
11.130542755127,1,0,0.2
11.2261552810669,1,0,0.2
11.2411570549011,1,0,0.2
11.2876756191254,1,0,0.2
11.3325924873352,1,0,0.2
